,PlayKey,time,event,x,y,dir,dis,o,s,PlayerKey,GameKey,PlayKeyID,dist_x,dist_y,true_dist,turn,turn_agg,true_speed,dir_o_diff,45_turn,180_turn,cumsum_45,cumsum_180
32,26624-1-1,3.2,huddle_start_offense,87.46,28.91,88.16,0.0,266.71,0.02,26624,1,1,0.0,0.0,0.0,-4.579999999999998,-16.980000000000004,0.0,-178.54999999999998,0,0,4,0
33,26624-1-1,3.3,huddle_start_offense,87.47,28.91,82.2,0.0,266.76,0.02,26624,1,1,0.010000000000005116,0.0,0.010000000000005116,-5.959999999999994,-20.11,0.0030303030303045807,-184.56,0,0,4,0
34,26624-1-1,3.4,huddle_start_offense,87.47,28.91,74.54,0.0,266.81,0.02,26624,1,1,0.0,0.0,0.0,-7.659999999999997,-25.22,0.0,-192.26999999999998,0,0,4,0
35,26624-1-1,3.5,huddle_start_offense,87.47,28.91,64.74,0.0,266.86,0.02,26624,1,1,0.0,0.0,0.0,-9.800000000000011,-31.730000000000004,0.0,-202.12,0,0,4,0
36,26624-1-1,3.6,huddle_start_offense,87.48,28.91,52.49,0.0,266.91,0.02,26624,1,1,0.010000000000005116,0.0,0.010000000000005116,-12.249999999999993,-40.24999999999999,0.0027777777777791986,-214.42000000000002,0,0,4,0
37,26624-1-1,3.7,huddle_start_offense,87.48,28.91,37.76,0.0,266.97,0.02,26624,1,1,0.0,0.0,0.0,-14.730000000000004,-50.4,0.0,-229.21000000000004,0,0,4,0
38,26624-1-1,3.8,huddle_start_offense,87.48,28.91,21.79,0.0,267.01,0.02,26624,1,1,0.0,0.0,0.0,-15.969999999999999,-60.410000000000004,0.0,-245.22,0,0,4,0
39,26624-1-1,3.9,huddle_start_offense,87.48,28.91,1.84,0.0,267.03,0.02,26624,1,1,0.0,0.0,0.0,-19.95,-72.7,0.0,-265.19,0,0,4,0
40,26624-1-1,4.0,huddle_start_offense,87.48,28.91,337.87,0.0,267.02,0.05,26624,1,1,0.0,0.0,0.0,336.03000000000003,273.13000000000005,0.0,70.85000000000002,1,1,5,1
41,26624-1-1,4.1,huddle_break_offense,87.48,28.92,325.16,0.0,266.96,0.17,26624,1,1,0.0,0.010000000000001563,0.010000000000001563,-12.70999999999998,272.6700000000001,0.002439024390244284,58.200000000000045,0,0,5,1
42,26624-1-1,4.2,huddle_break_offense,87.48,28.92,320.6,0.0,266.84,0.32,26624,1,1,0.0,0.0,0.0,-4.560000000000002,282.8400000000001,0.0,53.76000000000005,0,0,5,1
43,26624-1-1,4.3,huddle_break_offense,87.48,28.92,317.99,0.0,266.61,0.45,26624,1,1,0.0,0.0,0.0,-2.6100000000000136,296.20000000000005,0.0,51.379999999999995,0,0,5,1
44,26624-1-1,4.4,huddle_break_offense,87.48,28.93,315.72,0.0,266.0,0.54,26624,1,1,0.0,0.00999999999999801,0.00999999999999801,-2.269999999999982,313.88000000000005,0.0022727272727268203,49.72000000000003,0,0,5,1
45,26624-1-1,4.5,huddle_break_offense,87.48,28.93,313.13,0.01,264.01,0.6,26624,1,1,0.0,0.0,0.0,-2.590000000000032,-24.74000000000001,0.0,49.120000000000005,0,0,5,1
46,26624-1-1,4.6,huddle_break_offense,87.47,28.94,310.74,0.01,260.36,0.65,26624,1,1,-0.010000000000005116,0.010000000000001563,0.014142135623735673,-2.3899999999999864,-14.420000000000016,0.003074377309507755,50.379999999999995,0,0,5,1
47,26624-1-1,4.7,huddle_break_offense,87.47,28.94,308.21,0.01,255.53,0.69,26624,1,1,0.0,0.0,0.0,-2.5300000000000296,-12.390000000000043,0.0,52.67999999999998,0,0,5,1
48,26624-1-1,4.8,huddle_break_offense,87.46,28.95,306.12,0.02,250.04,0.74,26624,1,1,-0.010000000000005116,0.00999999999999801,0.014142135623733162,-2.089999999999975,-11.870000000000005,0.002946278254944409,56.08000000000001,0,0,5,1
49,26624-1-1,4.9,huddle_break_offense,87.42,29.0,304.27,0.06,244.13,0.79,26624,1,1,-0.03999999999999204,0.05000000000000071,0.06403124237432407,-1.8500000000000227,-11.450000000000045,0.013067600484555932,60.139999999999986,0,0,5,1
50,26624-1-1,5.0,huddle_break_offense,87.29,29.16,302.47,0.21,237.84,0.84,26624,1,1,-0.12999999999999545,0.16000000000000014,0.2061552812808803,-1.7999999999999545,-10.659999999999968,0.041231056256176055,64.63000000000002,0,0,5,1
51,26624-1-1,5.1,huddle_break_offense,87.1,29.36,300.73,0.28,231.17,0.89,26624,1,1,-0.19000000000001194,0.1999999999999993,0.27586228448268213,-1.740000000000009,-10.009999999999991,0.054090644016212185,69.56000000000003,0,0,5,1
52,26624-1-1,5.2,huddle_break_offense,86.93,29.51,299.22,0.23,224.28,0.94,26624,1,1,-0.1699999999999875,0.15000000000000213,0.2267156809750847,-1.509999999999991,-8.989999999999952,0.04359916941828552,74.94000000000003,0,0,5,1
53,26624-1-1,5.3,huddle_break_offense,86.79,29.6,297.7,0.16,217.43,0.99,26624,1,1,-0.14000000000000057,0.08999999999999986,0.16643316977093278,-1.5200000000000387,-8.420000000000016,0.03140248486244015,80.26999999999998,0,0,5,1
54,26624-1-1,5.4,huddle_break_offense,86.69,29.65,296.21,0.11,210.72,1.03,26624,1,1,-0.10000000000000853,0.04999999999999716,0.11180339887499584,-1.490000000000009,-8.060000000000002,0.020704333124999228,85.48999999999998,0,0,5,1
55,26624-1-1,5.5,huddle_break_offense,86.6,29.67,294.48,0.1,204.26,1.08,26624,1,1,-0.09000000000000341,0.020000000000003126,0.09219544457293288,-1.7299999999999613,-7.990000000000009,0.016762808104169614,90.22000000000003,0,0,5,1
56,26624-1-1,5.6,huddle_break_offense,86.5,29.68,292.69,0.1,198.18,1.12,26624,1,1,-0.09999999999999432,0.00999999999999801,0.10049875621120305,-1.7900000000000205,-8.04000000000002,0.01794620646628626,94.50999999999999,0,0,5,1
57,26624-1-1,5.7,huddle_break_offense,86.4,29.7,291.06,0.1,193.08,1.16,26624,1,1,-0.09999999999999432,0.019999999999999574,0.10198039027185005,-1.6299999999999955,-8.160000000000025,0.01789129653892106,97.97999999999999,0,0,5,1
58,26624-1-1,5.8,huddle_break_offense,86.3,29.72,289.13,0.1,189.29,1.17,26624,1,1,-0.10000000000000853,0.019999999999999574,0.10198039027186398,-1.9300000000000068,-8.569999999999993,0.017582825908942067,99.84,0,0,5,1
59,26624-1-1,5.9,huddle_break_offense,86.2,29.73,284.96,0.1,186.52,1.12,26624,1,1,-0.09999999999999432,0.010000000000001563,0.1004987562112034,-4.170000000000016,-11.25,0.017033687493424304,98.43999999999997,0,0,5,1
60,26624-1-1,6.0,huddle_break_offense,86.11,29.74,279.14,0.1,184.1,1.03,26624,1,1,-0.09000000000000341,0.00999999999999801,0.09055385138137734,-5.819999999999993,-15.340000000000032,0.01509230856356289,95.03999999999999,0,0,5,1
61,26624-1-1,6.1,huddle_break_offense,86.0,29.75,273.87,0.1,181.77,0.96,26624,1,1,-0.10999999999999943,0.010000000000001563,0.11045361017187218,-5.269999999999982,-18.819999999999993,0.018107149208503637,92.1,0,0,5,1
62,26624-1-1,6.2,huddle_break_offense,85.91,29.75,270.75,0.1,179.67,0.92,26624,1,1,-0.09000000000000341,0.0,0.09000000000000341,-3.1200000000000045,-20.310000000000002,0.014516129032258615,91.08000000000001,0,0,5,1
63,26624-1-1,6.3,huddle_break_offense,85.81,29.75,269.13,0.1,177.94,0.9,26624,1,1,-0.09999999999999432,0.0,0.09999999999999432,-1.6200000000000045,-20.0,0.01587301587301497,91.19,0,0,5,1
64,26624-1-1,6.4,huddle_break_offense,85.71,29.74,268.52,0.1,176.56,0.89,26624,1,1,-0.10000000000000853,-0.010000000000001563,0.10049875621121754,-0.6100000000000136,-16.439999999999998,0.01570293065800274,91.95999999999998,0,0,5,1
65,26624-1-1,6.5,huddle_break_offense,85.61,29.72,268.4,0.1,175.41,0.87,26624,1,1,-0.09999999999999432,-0.019999999999999574,0.10198039027185005,-0.12000000000000455,-10.740000000000009,0.015689290811053854,92.98999999999998,0,0,5,1
66,26624-1-1,6.6,huddle_break_offense,85.52,29.7,268.68,0.09,174.51,0.84,26624,1,1,-0.09000000000000341,-0.019999999999999574,0.0921954445729321,0.28000000000002956,-5.189999999999998,0.013969006753474563,94.17000000000002,0,0,5,1
67,26624-1-1,6.7,huddle_break_offense,85.43,29.69,269.45,0.09,173.91,0.81,26624,1,1,-0.0899999999999892,-0.00999999999999801,0.09055385138136321,0.7699999999999818,-1.3000000000000114,0.013515500206173613,95.53999999999999,0,0,5,1
68,26624-1-1,6.8,huddle_break_offense,85.35,29.67,270.01,0.08,173.6,0.78,26624,1,1,-0.0800000000000125,-0.019999999999999574,0.08246211251236524,0.5600000000000023,0.8799999999999955,0.012126781251818418,96.41,0,0,5,1
69,26624-1-1,6.9,huddle_break_offense,85.27,29.65,270.68,0.08,173.65,0.75,26624,1,1,-0.0799999999999983,-0.020000000000003126,0.08246211251235232,0.6700000000000159,2.160000000000025,0.01195103079889164,97.03,0,0,5,1
70,26624-1-1,7.0,huddle_break_offense,85.2,29.63,271.53,0.08,174.04,0.72,26624,1,1,-0.06999999999999318,-0.019999999999999574,0.07280109889279851,0.8499999999999659,3.1299999999999955,0.010400156984685502,97.48999999999998,0,0,5,1
71,26624-1-1,7.1,huddle_break_offense,85.13,29.63,272.66,0.07,174.66,0.68,26624,1,1,-0.07000000000000739,0.0,0.07000000000000739,1.1300000000000523,3.980000000000018,0.009859154929578506,98.00000000000003,0,0,5,1
72,26624-1-1,7.2,huddle_break_offense,85.07,29.62,273.76,0.06,175.52,0.64,26624,1,1,-0.060000000000002274,-0.00999999999999801,0.06082762530298411,1.099999999999966,4.310000000000002,0.008448281292081127,98.23999999999998,0,0,5,1
73,26624-1-1,7.3,huddle_break_offense,85.0,29.63,275.08,0.06,176.35,0.6,26624,1,1,-0.06999999999999318,0.00999999999999801,0.07071067811864772,1.3199999999999932,5.069999999999993,0.009686394262828454,98.72999999999999,0,0,5,1
74,26624-1-1,7.4,huddle_break_offense,84.94,29.64,277.13,0.06,176.93,0.56,26624,1,1,-0.060000000000002274,0.010000000000001563,0.060827625302984696,2.0500000000000114,6.449999999999989,0.008219949365268202,100.19999999999999,0,0,5,1
75,26624-1-1,7.5,huddle_break_offense,84.89,29.67,279.06,0.06,177.17,0.52,26624,1,1,-0.04999999999999716,0.030000000000001137,0.058309518948451156,1.9300000000000068,7.53000000000003,0.007774602526460154,101.89000000000001,0,0,5,1
76,26624-1-1,7.6,huddle_break_offense,84.85,29.7,280.49,0.06,177.14,0.48,26624,1,1,-0.04000000000000625,0.029999999999997584,0.050000000000003555,1.4300000000000068,7.829999999999984,0.006578947368421521,103.35000000000002,0,0,5,1
77,26624-1-1,7.7,huddle_break_offense,84.8,29.73,282.23,0.06,176.93,0.44,26624,1,1,-0.04999999999999716,0.030000000000001137,0.058309518948451156,1.740000000000009,8.470000000000027,0.0075726647985001495,105.30000000000001,0,0,5,1
78,26624-1-1,7.8,huddle_break_offense,84.75,29.75,284.53,0.05,176.61,0.41,26624,1,1,-0.04999999999999716,0.019999999999999574,0.05385164807134225,2.2999999999999545,9.449999999999989,0.0069040574450438775,107.91999999999996,0,0,5,1
79,26624-1-1,7.9,huddle_break_offense,84.71,29.78,286.9,0.05,176.25,0.38,26624,1,1,-0.04000000000000625,0.030000000000001137,0.050000000000005686,2.3700000000000045,9.769999999999982,0.006329113924051353,110.64999999999998,0,0,5,1
80,26624-1-1,8.0,huddle_break_offense,84.69,29.81,288.17,0.04,175.87,0.35,26624,1,1,-0.01999999999999602,0.029999999999997584,0.03605551275463568,1.2700000000000387,9.110000000000014,0.00450693909432946,112.30000000000001,0,0,5,1
81,26624-1-1,8.1,huddle_break_offense,84.66,29.83,289.94,0.03,175.37,0.32,26624,1,1,-0.030000000000001137,0.019999999999999574,0.036055512754640605,1.7699999999999818,9.449999999999989,0.004451297870943284,114.57,0,0,5,1
82,26624-1-1,8.2,huddle_break_offense,84.64,29.83,290.49,0.02,174.84,0.29,26624,1,1,-0.01999999999999602,0.0,0.01999999999999602,0.5500000000000114,8.259999999999991,0.0024390243902434176,115.65,0,0,5,1
83,26624-1-1,8.3,huddle_break_offense,84.62,29.84,290.55,0.02,174.31,0.26,26624,1,1,-0.01999999999999602,0.010000000000001563,0.022360679774995035,0.060000000000002274,6.020000000000039,0.0026940578042162692,116.24000000000001,0,0,5,1
84,26624-1-1,8.4,huddle_break_offense,84.6,29.85,288.25,0.02,173.66,0.24,26624,1,1,-0.020000000000010232,0.010000000000001563,0.022360679775007747,-2.3000000000000114,1.3500000000000227,0.002661985687500922,114.59,0,0,5,1
85,26624-1-1,8.5,line_set,84.59,29.85,283.47,0.01,173.11,0.22,26624,1,1,-0.009999999999990905,0.0,0.009999999999990905,-4.779999999999973,-4.699999999999989,0.0011764705882342241,110.36000000000001,0,0,5,1
86,26624-1-1,8.6,line_set,84.58,29.84,279.57,0.01,172.83,0.19,26624,1,1,-0.010000000000005116,-0.010000000000001563,0.014142135623735673,-3.900000000000034,-10.370000000000005,0.0016444343748529852,106.73999999999998,0,0,5,1
87,26624-1-1,8.7,line_set,84.56,29.83,275.08,0.02,172.79,0.17,26624,1,1,-0.01999999999999602,-0.010000000000001563,0.022360679774995035,-4.490000000000009,-15.410000000000025,0.0025701930775856364,102.28999999999999,0,0,5,1
88,26624-1-1,8.8,line_set,84.55,29.83,268.05,0.02,172.87,0.16,26624,1,1,-0.010000000000005116,0.0,0.010000000000005116,-7.029999999999973,-22.5,0.0011363636363642177,95.18,0,0,5,1
89,26624-1-1,8.9,line_set,84.54,29.82,260.38,0.01,172.99,0.15,26624,1,1,-0.009999999999990905,-0.00999999999999801,0.014142135623723113,-7.670000000000016,-27.870000000000005,0.0015890040026655182,87.38999999999999,0,0,5,1
90,26624-1-1,9.0,line_set,84.53,29.82,253.31,0.01,173.11,0.13,26624,1,1,-0.010000000000005116,0.0,0.010000000000005116,-7.069999999999993,-30.160000000000025,0.0011111111111116794,80.19999999999999,0,0,5,1
91,26624-1-1,9.1,line_set,84.51,29.81,249.73,0.02,173.23,0.13,26624,1,1,-0.01999999999999602,-0.010000000000001563,0.022360679774995035,-3.5800000000000125,-29.840000000000003,0.002457217557691762,76.5,0,0,5,1
92,26624-1-1,9.2,line_set,84.5,29.81,245.41,0.02,173.45,0.12,26624,1,1,-0.010000000000005116,0.0,0.010000000000005116,-4.319999999999993,-29.669999999999987,0.0010869565217396866,71.96000000000001,0,0,5,1
93,26624-1-1,9.3,line_set,84.48,29.8,242.56,0.02,173.89,0.11,26624,1,1,-0.01999999999999602,-0.00999999999999801,0.02236067977499345,-2.8499999999999943,-25.49000000000001,0.002404374169354134,68.67000000000002,0,0,5,1
94,26624-1-1,9.4,line_set,84.47,29.8,241.96,0.02,174.44,0.11,26624,1,1,-0.010000000000005116,0.0,0.010000000000005116,-0.5999999999999943,-18.419999999999987,0.0010638297872345868,67.52000000000001,0,0,5,1
95,26624-1-1,9.5,line_set,84.45,29.79,241.76,0.02,175.02,0.1,26624,1,1,-0.01999999999999602,-0.010000000000001563,0.022360679774995035,-0.20000000000001705,-11.550000000000011,0.002353755765788951,66.73999999999998,0,0,5,1
96,26624-1-1,9.6,line_set,84.44,29.78,241.9,0.02,175.61,0.1,26624,1,1,-0.010000000000005116,-0.00999999999999801,0.014142135623733162,0.14000000000001478,-7.829999999999984,0.0014731391274722045,66.28999999999999,0,0,5,1
97,26624-1-1,9.7,line_set,84.43,29.77,242.91,0.01,176.14,0.09,26624,1,1,-0.009999999999990905,-0.010000000000001563,0.014142135623725625,1.009999999999991,-2.5,0.001457952126157281,66.77000000000001,0,0,5,1
98,26624-1-1,9.8,line_set,84.43,29.76,244.03,0.01,176.58,0.08,26624,1,1,0.0,-0.00999999999999801,0.00999999999999801,1.1200000000000045,1.4699999999999989,0.001020408163265103,67.44999999999999,0,0,5,1
99,26624-1-1,9.9,line_set,84.43,29.76,244.16,0.01,176.98,0.08,26624,1,1,0.0,0.0,0.0,0.12999999999999545,2.1999999999999886,0.0,67.18,0,0,5,1
100,26624-1-1,10.0,line_set,84.43,29.75,244.0,0.01,177.42,0.07,26624,1,1,0.0,-0.010000000000001563,0.010000000000001563,-0.1599999999999966,2.240000000000009,0.0010000000000001564,66.58000000000001,0,0,5,1
101,26624-1-1,10.1,line_set,84.42,29.75,243.93,0.0,177.89,0.06,26624,1,1,-0.010000000000005116,0.0,0.010000000000005116,-0.06999999999999318,2.030000000000001,0.0009900990099014967,66.04000000000002,0,0,5,1
102,26624-1-1,10.2,line_set,84.42,29.75,243.73,0.0,178.37,0.05,26624,1,1,0.0,0.0,0.0,-0.20000000000001705,0.8199999999999932,0.0,65.35999999999999,0,0,5,1
103,26624-1-1,10.3,line_set,84.42,29.75,243.05,0.0,178.79,0.04,26624,1,1,0.0,0.0,0.0,-0.6799999999999784,-0.9799999999999898,0.0,64.26000000000002,0,0,5,1
104,26624-1-1,10.4,line_set,84.41,29.75,245.36,0.0,179.12,0.03,26624,1,1,-0.010000000000005116,0.0,0.010000000000005116,2.3100000000000023,1.200000000000017,0.0009615384615389534,66.24000000000001,0,0,5,1
105,26624-1-1,10.5,line_set,84.41,29.75,250.85,0.0,179.27,0.02,26624,1,1,0.0,0.0,0.0,5.489999999999981,6.849999999999994,0.0,71.57999999999998,0,0,5,1
106,26624-1-1,10.6,line_set,84.41,29.75,262.44,0.0,179.3,0.02,26624,1,1,0.0,0.0,0.0,11.590000000000003,18.50999999999999,0.0,83.13999999999999,0,0,5,1
107,26624-1-1,10.7,line_set,84.41,29.76,277.79,0.0,179.31,0.02,26624,1,1,0.0,0.010000000000001563,0.010000000000001563,15.350000000000023,34.06000000000003,0.0009345794392524826,98.48000000000002,0,0,5,1
108,26624-1-1,10.8,line_set,84.41,29.76,289.58,0.0,179.31,0.02,26624,1,1,0.0,0.0,0.0,11.789999999999964,46.52999999999997,0.0,110.26999999999998,0,0,5,1
109,26624-1-1,10.9,line_set,84.4,29.76,297.52,0.0,179.34,0.02,26624,1,1,-0.009999999999990905,0.0,0.009999999999990905,7.939999999999998,52.15999999999997,0.000917431192659716,118.17999999999998,0,0,5,1
110,26624-1-1,11.0,line_set,84.4,29.76,303.32,0.0,179.41,0.02,26624,1,1,0.0,0.0,0.0,5.800000000000011,52.47,0.0,123.91,0,0,5,1
111,26624-1-1,11.1,line_set,84.4,29.76,307.73,0.0,179.5,0.02,26624,1,1,0.0,0.0,0.0,4.410000000000025,45.29000000000002,0.0,128.23000000000002,0,0,5,1
112,26624-1-1,11.2,line_set,84.4,29.76,310.52,0.0,179.59,0.02,26624,1,1,0.0,0.0,0.0,2.7899999999999636,32.72999999999996,0.0,130.92999999999998,0,0,5,1
113,26624-1-1,11.3,line_set,84.4,29.76,311.21,0.0,179.69,0.02,26624,1,1,0.0,0.0,0.0,0.6899999999999977,21.629999999999995,0.0,131.51999999999998,0,0,5,1
114,26624-1-1,11.4,line_set,84.4,29.76,310.63,0.0,179.82,0.02,26624,1,1,0.0,0.0,0.0,-0.5799999999999841,13.110000000000014,0.0,130.81,0,0,5,1
115,26624-1-1,11.5,line_set,84.4,29.77,309.22,0.0,179.99,0.02,26624,1,1,0.0,0.00999999999999801,0.00999999999999801,-1.4099999999999682,5.900000000000034,0.0008695652173911313,129.23000000000002,0,0,5,1
116,26624-1-1,11.6,line_set,84.39,29.77,306.48,0.0,180.17,0.02,26624,1,1,-0.010000000000005116,0.0,0.010000000000005116,-2.740000000000009,-1.25,0.0008620689655176824,126.31000000000003,0,0,5,1
117,26624-1-1,11.7,line_set,84.39,29.77,303.2,0.0,180.39,0.01,26624,1,1,0.0,0.0,0.0,-3.2800000000000296,-7.319999999999993,0.0,122.81,0,0,5,1
118,26624-1-1,11.8,line_set,84.39,29.77,298.84,0.0,180.6,0.01,26624,1,1,0.0,0.0,0.0,-4.360000000000014,-12.370000000000005,0.0,118.23999999999998,0,0,5,1
119,26624-1-1,11.9,line_set,84.39,29.77,293.28,0.0,180.81,0.01,26624,1,1,0.0,0.0,0.0,-5.560000000000002,-17.350000000000023,0.0,112.46999999999997,0,0,5,1
120,26624-1-1,12.0,line_set,84.39,29.77,287.41,0.0,181.0,0.01,26624,1,1,0.0,0.0,0.0,-5.869999999999948,-21.810000000000002,0.0,106.41000000000003,0,0,5,1
121,26624-1-1,12.1,line_set,84.39,29.77,281.99,0.0,181.17,0.01,26624,1,1,0.0,0.0,0.0,-5.420000000000016,-24.49000000000001,0.0,100.82000000000002,0,0,5,1
122,26624-1-1,12.2,line_set,84.39,29.77,276.72,0.0,181.33,0.01,26624,1,1,0.0,0.0,0.0,-5.269999999999982,-26.47999999999996,0.0,95.39000000000001,0,0,5,1
123,26624-1-1,12.3,line_set,84.39,29.77,271.62,0.0,181.47,0.01,26624,1,1,0.0,0.0,0.0,-5.100000000000023,-27.21999999999997,0.0,90.15,0,0,5,1
